ticket,summary,component,version,milestone,type,owner,status,created,_changetime,_description,_reporter
55,Recryption error when using gpg-agent in text mode,usability,2.0.0,hardened,defect,Silvio Rhatto,reopened,2014-04-06T20:31:22-03:00,2014-04-17T20:02:46-03:00,"Seems like the following construction is filtering the passphrase prompt for the text mode {{{gpg-agent}}} input:

{{{
decrypted=""$($GPG --use-agent -d ""$KEYDIR/$FILE"" 2> /dev/null)""
}}}",Silvio Rhatto
80,possible race condition,usability,2.0.0,,task,,new,2017-07-26T13:06:56-03:00,2017-11-03T10:46:07-02:00,"I've been battling this weird problem for over a year and I have finally seem to have found a work-around.

Here's a description of the problem: sometimes when I use append-batch, I get an error:

{{{
gpg: no valid OpenPGP data found.
gpg: block_filter 0x00005595421fb850: read error (size=15267,a->size=15267)
gpg: encrypted_mdc packet with unknown version 255
:encrypted data packet: [unknown version]
gpg: block_filter: pending bytes!
}}}

Typically, after another user has added a new password, I'm able to successfully add a new password myself. However, if I try to add a second password I get the error.

This problem doesn't seem to affect other members of the team.",jamie
75,Recipient error when using ~ on repository path,packaging,2.0.0,hardened,defect,Silvio Rhatto,new,2016-02-05T05:44:03-02:00,2016-02-05T05:44:03-02:00,Recipient error when using {{{~}}} on repository path.,Silvio Rhatto
3,Integration with ssss,security,2.0.0,hardened,task,Silvio Rhatto,assigned,2012-06-28T00:54:47-03:00,2014-12-19T10:46:38-02:00,Integration with ssss or [https://packages.debian.org/stable/libgfshare-bin gfsplit] as outlined in the [https://git.sarava.org/?p=keyringer.git;a=shortlog;h=refs/heads/ssss ssss branch].,Silvio Rhatto
8,Background color,security,2.0.0,hardened,task,Silvio Rhatto,assigned,2013-03-22T17:37:58-03:00,2013-10-26T13:38:10-02:00,Change the terminal background color when displaying secrets. ,Silvio Rhatto
15,Make custom merge driver so that when branches diverge they are recoverable,usability,2.0.0,hardened,task,somebody,new,2013-09-16T18:36:21-03:00,2013-10-26T13:38:42-02:00,"`gitattributes(5)` and `git-merge-files(1)` suggest ways to provide custom merge drivers and custom diff engines.

These could be used to keep both the working directories and the centralized repository encrypted, while still enabling people to do a ""git rebase origin/master"" if they had some sort of race condition.",Daniel Kahn Gillmor
22,Check if secret already exists,usability,2.0.0,hardened,task,somebody,new,2013-09-29T19:45:51-03:00,2013-10-26T13:39:11-02:00,"When encrypting, check if the secret already exists and provide the user an choice whether to overwrite or not. Include an environment variable to bypass this check and use it for internal {{{encrypt}}} invocations.",Silvio Rhatto
25,Signed tags and commits,packaging,2.0.0,hardened,task,somebody,new,2013-10-22T21:58:29-02:00,2018-01-03T20:15:56-02:00,Support for automatically sign tags and commits in a keyring.,Silvio Rhatto
29,Use a memory buffer as a temporary storage,security,2.0.0,hardened,task,Silvio Rhatto,new,2013-11-14T16:08:13-02:00,2013-11-14T16:08:13-02:00,We could go beyound [ticket:13 ramdisk checks] and use a memory buffer as [ticket:13#comment:1 suggested].,Silvio Rhatto
31,Enhanced output,usability,2.0.0,hardened,task,Silvio Rhatto,new,2013-11-16T14:13:21-02:00,2013-11-16T14:13:21-02:00,Improved keyringer general output with some fancy stuff.,Silvio Rhatto
33,Incorporate features from pass,usability,2.0.0,hardened,task,Silvio Rhatto,new,2013-11-26T16:42:22-02:00,2013-11-26T16:42:22-02:00,"Incorporate functionalities and behavior from [http://zx2c4.com/projects/password-store/ pass], including a migration action.",Silvio Rhatto
